Abutilon theophrasti
Potentilla sp.
Potentilla neumanniana
Potentilla nivea
Potentilla norvegica
Potentilla palustris
Potentilla pensylvania
Potentilla simplex
Potentilla tridenta
Potentilla tridentata
Potentilla usticapensis
Prenanthes alba
Prenanthes racemosa
Prenanthes trifoliata
Primula egaliksensis
Primula laurentiana
Primula mistassinica
Prunella vulgaris
Prunus domestica
Prunus pensylvania
Prunus sp.
Prunus virginiana
Psoralea lanceolata
Pulmonaria sp.
Pyrola asarifolia
Pyrola assarifolia
Pyrola ehlorantha
Pyrola elliptica
Pyrola grandiflora
Pyrola minor
Pyrola sp.
Pyrola rotundifolia
Pyrola secunda
Pyrola virens
Pyrus malus
Quercus sp.
Quercus robur
Ranunculus abortivus
Ranunculus acris
Ranunculus aquatilis
Ranunculus cymbalaria
Ranunculus flammula
Ranunculus gmelinii
Ranunculus hyperboreus
Ranunculus macounii
Ranunculus sp.
Ranunculus repens
Ranunculus rhomboideus
Ranunculus sceleratus
Ranunculus trichophyllus
Raphanus raphanistrum
Raphanus sativus
Ratibida columnifera
Rhamnus alnifolia
Rhianthus borealis
Rhianthus crista-galli
Rhianthus minor
Rhianthus sp.
Rhodiola rosea
Rhododenron canadense
Rhododenron lapponicum
Rhododenron tomentosum
Rhus radicans
Rhus sp.
Rhus typhina
Ribes aureum
Ribes glandulosum
Ribes hirtellum
Ribes lacustre
Ribes nigrum
Ribes triste
Rorippa islandica
Rorippa nasturtium-aquatica
Rorippa palustris
Rosa multiflora
Rosa sp.
Rosa nitida
Rosa virginiana
Rubeckia serotina
Rubus acaulis
Rubus arcticus
Rubus Canadensis
Rubus Chamaemorus
Rubus idaeus
Rubus sp.
Rubus pubescens
Rubus recurvicaulis
Rubus Spp.
Rudbeckia hirta
Rudbeckia sp.
Rumex acetosa
Rumex acetosella
Rumex aquaticus
Rumex crispus
Rumex domesticus
Rumex fenestratus
Rumex sp.
Rumex obtusifolius
Rumex pallidus
Rumex stenophyllus
Rumex triangulivalvis
Ruta graveolens
Sagina nodosa
Sagina procumbens
Salicornia europaea
Salix arctica
Salix arctophila
Salix babylonica
Salix bebbiana
Salix calcicola
Salix calcicolus
Salix canadada
Salix candida
Salix discolor
Salix eriocephala
Salix exigua
Salix glauca
Salix glaucophylloides
Salix herbacea
Salix jejuna
Salix lanata
Salix lucida
Salix myrtillifolia
Salix sp.
Salix pentandra
Salix petilla
Salix planifolia
Salix reticulata
Salix rigida
Salix uva-ursi
Salix v
Salix vestita
Salsola kali
Sambucus pubens
Sanguinaria canadensis
Sanguisorba canadensis
Sanicula marilandica
Sarracenia purpurea
Satureja sp.
Satureja vulgaris
Saxifraga aizoides
Saxifraga aizoon
Saxifraga caespitosa
Saxifraga cernua
Saxifraga sp.
Saxifraga oppositifolia
Saxifraga paniculata
Saxifraga tricuspidata
Scabiosa caucasica
Schizala pusilla
Scrophularia nodosa
Scutellaria epilobifolia
Scutellaria galericulata
Scutellaria lateriflora
Sedum acaulis
Sedum acre
Sedum rosea
Sedum spurium
Senecio aureus
Senecio congestus
Senecio jacobaea
Senecio sp.
Senecio pauciflorus
Senecio pauperculus
Senecio pseudo-arnica
Senecio sylvaticus
Senecio viscosus
Senecio vulgaris
Shepherdia canadensis
Sibbaldiopsis tridentata
Silene cserei
Silene cucubalis
Silene cucubalus
Silene dioica
Silene noctiflora
Silene vulgaris
Simmondsia chinensis
Sisymbrium altissium
Sisymbrium officinale
Sium suave
Solanum dulcamara
Solanum nigrum
Solidago bicolor
Solidago canadensis
Solidago flexicaulis
Solidago graminifolia
Solidago hispida
Solidago macrophylla
Solidago multiradiata
Solidago sp.
Solidago puberula
Solidago rugosa
Solidago sempervirens
Solidago ulignosa
Sonchus arvensis
Sonchus asper
Sorbus americana
Sorbus aucuparia
Sorbus decora
Sorbus sp.
Spergula arvensis
Spergularia canadensis
Spergularia marina
Spergularia sp.
Spergularia rubra
Spiraea alba
Spiraea latifolia
Spiraea tomentosa
Stachys palustris
Stachyus palustris
Stellaria borealis
Stellaria graminea
Stellaria humifusa
Stellaria longifolia
Stellaria longipes
Stellaria media
Stellaria sp.
Stephanomeria runcinata
Suaeda depressa
Suaeda maritima
Subularia aquatica
Symphoricarpus albus
Symphyotrichum boreale
Symphyotrichum ciliolatum
Symphyotrichum novi-belgii
Symphyotrichum tradescanti
Syringa vulgaris
Tanacetum huronense
Tanacetum vulgare
Taraxacum lapponicum
Taraxacum sp.
Taraxacum officinale
Thalictrum alpinum
Thalictrum sp.
Thalictrum polygamum
Thalictrum pubescens
Thermopsis montana
Thermopsis rhombifolia
Thlaspi arvense
Tilia americana
Tilia sp.
Tragopogon pratensis
Triadenum fraseri
Trientalis borealis
Trifolium agrarium
Trifolium arvense
Trifolium pratense
Trifolium procumbens
Trifolium repens
